name,price,low,high,value,ratio,basis
Codex Pro 20×,200,9100,10000,9550.0,47.75,estimate
Claude Max 20×,200,4700,8200,6450.0,32.25,estimate
MiniMax Ultra,132,825,6000,3412.5,25.852272727272727,estimate
MiniMax Max,55,340,2448,1394.0,25.345454545454544,estimate
Codex Pro 5×,100,2300,2600,2450.0,24.5,estimate
Codex Plus,20,460,520,490.0,24.5,estimate
Claude Pro,20,250,650,450.0,22.5,estimate
MiniMax Plus,22,110,816,463.0,21.045454545454547,estimate
Claude Max 5×,100,1700,2300,2000.0,20.0,estimate
GLM Max,160,939,2000,1469.5,9.184375,estimate
GLM Pro,72,403,900,651.5,9.04861111111111,estimate
Alibaba Coding Plan,50,300,600,450.0,9.0,estimate
GLM Lite,18,67,225,146.0,8.11111111111111,estimate
OpenCode Go,10,60,60,60.0,6.0,cap
SuperGrok Heavy,300,870,1950,1410.0,4.7,estimate
TRAE Ultra,100,400,400,400.0,4.0,floor
Ollama Max,100,300,300,300.0,3.0,credit
TRAE Pro+,30,90,90,90.0,3.0,floor
Ollama Pro,20,60,60,60.0,3.0,credit
Kiro Power,200,400,400,400.0,2.0,replacement
Copilot Max,100,200,200,200.0,2.0,credit
Kiro Pro Max,100,200,200,200.0,2.0,replacement
Kiro Pro+,40,80,80,80.0,2.0,replacement
Kiro Pro,20,40,40,40.0,2.0,replacement
TRAE Pro,10,20,20,20.0,2.0,floor
Copilot Pro+,39,70,70,70.0,1.794871794871795,credit
TRAE Lite,3,5,5,5.0,1.6666666666666667,floor
Copilot Pro,10,15,15,15.0,1.5,credit
Warp Max,200,240,240,240.0,1.2,replacement
JetBrains AI Ultimate,30,35,35,35.0,1.1666666666666667,credit
Warp Build,20,20,20,20.0,1.0,replacement
JetBrains AI Pro,10,10,10,10.0,1.0,credit
Zed Pro,10,5,5,5.0,0.5,credit
